2020-05-23 14:19:38,157 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest], using SpringBootContextLoader
2020-05-23 14:19:38,199 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-23 14:19:38,226 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: LadderBattleCrawlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-23 14:19:39,054 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.deeppokemon.PokemoCrawlerApplication for test class com.mimosa.deeppokemon.LadderBattleCrawlerTest
2020-05-23 14:19:39,506 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-23 14:19:39,639 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5c669da8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@31920ade, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1d483de4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4032d386, org.springframework.test.context.support.DirtiesContextTestExecutionListener@28d18df5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@934b6cb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@55cf0d14, org.springframework.test.context.event.EventPublishingTestExecutionListener@3b74ac8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@27adc16e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b83a9be, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2609b277, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1fd14d74, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@563e4951]
2020-05-23 14:19:42,578 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:55 - Starting LadderBattleCrawlerTest on Yao-PC with PID 6164 (started by Yao in E:\java\study\deep-pokemon\pokemon-crawler)
2020-05-23 14:19:42,583 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-05-23 14:19:45,947 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-05-23 14:19:46,031 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 56ms. Found 0 MongoDB repository interfaces.
2020-05-23 14:19:48,606 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
