2020-05-16 23:39:50,245 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:15}] to localhost:27017
2020-05-16 23:45:10,983 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-16 23:45:10,988 [SpringContextShutdownHook] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Closed connection [connectionId{localValue:2, serverValue:15}] to localhost:27017 because the pool has been closed.
2020-05-16 23:49:53,632 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest], using SpringBootContextLoader
2020-05-16 23:49:53,665 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-16 23:49:53,667 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: LadderBattleCrawlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-16 23:49:54,033 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.deeppokemon.PokemoCrawlerApplication for test class com.mimosa.deeppokemon.LadderBattleCrawlerTest
2020-05-16 23:49:54,313 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-16 23:49:54,353 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1205bd62, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7ef27d7f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@490caf5f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6337c201, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c669da8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@31920ade, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1d483de4, org.springframework.test.context.event.EventPublishingTestExecutionListener@4032d386, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@28d18df5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@934b6cb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55cf0d14, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b74ac8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27adc16e]
2020-05-16 23:49:56,863 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:55 - Starting LadderBattleCrawlerTest on Yao-PC with PID 760 (started by Yao in E:\java\study\deep-pokemon\pokemon-crawler)
2020-05-16 23:49:56,868 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-05-16 23:49:58,574 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-05-16 23:49:58,643 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 57ms. Found 0 MongoDB repository interfaces.
2020-05-16 23:50:00,312 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-05-16 23:50:00,313 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-05-16 23:50:00,424 [cluster-ClusterId{value='5ec00ba83f6a285c677a4900', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:16}] to localhost:27017
2020-05-16 23:50:00,436 [cluster-ClusterId{value='5ec00ba83f6a285c677a4900', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=6873194}
2020-05-16 23:50:00,439 [cluster-ClusterId{value='5ec00ba83f6a285c677a4900', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-05-16 23:50:03,140 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-16 23:50:05,818 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:61 - Started LadderBattleCrawlerTest in 11.305 seconds (JVM running for 14.68)
2020-05-16 23:50:06,692 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] LadderBattleCrawlerTest.java:90 - craw start: format:gen8ou pageLimit:1 rankLimit:20 eloLimit:1800 gxeLimit:80.000000 dateLimit:2020-04-16
2020-05-16 23:50:13,309 [main] INFO  [com.mimosa.deeppokemon.service.PlayerService] PlayerService.java:25 - save players:N30N3
2020-05-16 23:50:13,618 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:17}] to localhost:27017
2020-05-16 23:53:39,318 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-16 23:53:39,323 [SpringContextShutdownHook] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Closed connection [connectionId{localValue:2, serverValue:17}] to localhost:27017 because the pool has been closed.
2020-05-16 23:58:22,660 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest], using SpringBootContextLoader
2020-05-16 23:58:22,680 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-16 23:58:22,683 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: LadderBattleCrawlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-16 23:58:23,016 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.deeppokemon.PokemoCrawlerApplication for test class com.mimosa.deeppokemon.LadderBattleCrawlerTest
2020-05-16 23:58:23,342 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-05-16 23:58:23,381 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1205bd62, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7ef27d7f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@490caf5f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6337c201, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c669da8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@31920ade, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1d483de4, org.springframework.test.context.event.EventPublishingTestExecutionListener@4032d386, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@28d18df5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@934b6cb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@55cf0d14, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b74ac8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27adc16e]
2020-05-16 23:58:25,348 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:55 - Starting LadderBattleCrawlerTest on Yao-PC with PID 6996 (started by Yao in E:\java\study\deep-pokemon\pokemon-crawler)
2020-05-16 23:58:25,354 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-05-16 23:58:27,403 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-05-16 23:58:27,438 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 26ms. Found 0 MongoDB repository interfaces.
2020-05-16 23:58:29,099 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-05-16 23:58:29,100 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-05-16 23:58:29,215 [cluster-ClusterId{value='5ec00da517394066b3a587fb', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:18}] to localhost:27017
2020-05-16 23:58:29,226 [cluster-ClusterId{value='5ec00da517394066b3a587fb', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7235975}
2020-05-16 23:58:29,229 [cluster-ClusterId{value='5ec00da517394066b3a587fb', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-05-16 23:58:31,313 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-16 23:58:32,036 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:61 - Started LadderBattleCrawlerTest in 8.507 seconds (JVM running for 11.578)
2020-05-16 23:58:32,928 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] LadderBattleCrawlerTest.java:90 - craw start: format:gen8ou pageLimit:1 rankLimit:20 eloLimit:1800 gxeLimit:80.000000 dateLimit:2020-04-16
2020-05-16 23:59:07,311 [main] INFO  [com.mimosa.deeppokemon.service.PlayerService] PlayerService.java:25 - save players:N30N3
2020-05-16 23:59:07,647 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:19}] to localhost:27017
