2020-07-10 17:44:38,360 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest], using SpringBootContextLoader
2020-07-10 17:44:38,385 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 17:44:38,390 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: LadderBattleCrawlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 17:44:38,799 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.deeppokemon.PokemoCrawlerApplication for test class com.mimosa.deeppokemon.LadderBattleCrawlerTest
2020-07-10 17:44:39,253 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-10 17:44:39,296 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@11bb571c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7c51f34b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5495333e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2a225dd7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@61eaec38, org.springframework.test.context.transaction.TransactionalTestExecutionListener@125290e5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fa34d52, org.springframework.test.context.event.EventPublishingTestExecutionListener@57576994, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@616ac46a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@67b9b51a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1205bd62, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7ef27d7f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@490caf5f]
2020-07-10 17:44:41,278 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:55 - Starting LadderBattleCrawlerTest on Yao-PC with PID 5792 (started by Yao in E:\java\study\deep-pokemon\pokemon-crawler)
2020-07-10 17:44:41,283 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-10 17:44:42,880 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-10 17:44:42,931 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 38ms. Found 0 MongoDB repository interfaces.
2020-07-10 17:44:44,843 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-10 17:44:44,844 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-10 17:44:44,988 [cluster-ClusterId{value='5f08388c6abe402587fdcc78', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:56}] to localhost:27017
2020-07-10 17:44:45,000 [cluster-ClusterId{value='5f08388c6abe402587fdcc78', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=7068963}
2020-07-10 17:44:45,003 [cluster-ClusterId{value='5f08388c6abe402587fdcc78', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-10 17:44:47,269 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-10 17:44:48,346 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:61 - Started LadderBattleCrawlerTest in 8.658 seconds (JVM running for 12.808)
2020-07-10 17:44:49,426 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] LadderBattleCrawlerTest.java:87 - craw start: format:gen8ou pageLimit:1 rankLimit:50 eloLimit:1600 gxeLimit:60.000000 dateLimit:2020-06-10
2020-07-10 17:44:51,237 [main] INFO  [com.mimosa.deeppokemon.service.PlayerService] PlayerService.java:30 - save players:Storm Zone
2020-07-10 17:44:51,613 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:57}] to localhost:27017
2020-07-10 18:04:31,953 [main] INFO  [com.mimosa.deeppokemon.service.BattleService] BattleService.java:35 - save battles:gen8ou-1148530797
2020-07-10 18:04:34,647 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-10 18:04:34,651 [SpringContextShutdownHook] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Closed connection [connectionId{localValue:2, serverValue:57}] to localhost:27017 because the pool has been closed.
2020-07-10 21:43:28,679 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest], using SpringBootContextLoader
2020-07-10 21:43:28,741 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 21:43:28,749 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: LadderBattleCrawlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 21:43:29,194 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.deeppokemon.PokemoCrawlerApplication for test class com.mimosa.deeppokemon.LadderBattleCrawlerTest
2020-07-10 21:43:29,501 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-10 21:43:29,657 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@23fb172e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@64ba3208, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@158a3b2e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@25a6944c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5e1fa5b1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6b00f608, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f17e30d, org.springframework.test.context.event.EventPublishingTestExecutionListener@3e821657, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1d131e1b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@71cf1b07, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@615091b8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4fce136b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4aa83f4f]
2020-07-10 21:43:29,760 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.TeamCrawlerTest], using SpringBootContextLoader
2020-07-10 21:43:29,765 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.TeamCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
