2020-07-08 13:34:21,376 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest], using SpringBootContextLoader
2020-07-08 13:34:21,413 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-08 13:34:21,429 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.deeppokemon.LadderBattleCrawlerTest]: LadderBattleCrawlerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-08 13:34:22,371 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.deeppokemon.PokemoCrawlerApplication for test class com.mimosa.deeppokemon.LadderBattleCrawlerTest
2020-07-08 13:34:22,820 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-08 13:34:22,940 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@11bb571c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7c51f34b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5495333e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2a225dd7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@61eaec38, org.springframework.test.context.transaction.TransactionalTestExecutionListener@125290e5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fa34d52, org.springframework.test.context.event.EventPublishingTestExecutionListener@57576994, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@616ac46a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@67b9b51a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1205bd62, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7ef27d7f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@490caf5f]
2020-07-08 13:34:25,594 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:55 - Starting LadderBattleCrawlerTest on Yao-PC with PID 7868 (started by Yao in E:\java\study\deep-pokemon\pokemon-crawler)
2020-07-08 13:34:25,597 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-08 13:34:29,196 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-08 13:34:29,305 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 59ms. Found 0 MongoDB repository interfaces.
2020-07-08 13:34:32,174 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-08 13:34:32,175 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-08 13:34:32,474 [cluster-ClusterId{value='5f055ae8ee385337334bb9e3', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:1}] to localhost:27017
2020-07-08 13:34:32,490 [cluster-ClusterId{value='5f055ae8ee385337334bb9e3', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=9145579}
2020-07-08 13:34:32,493 [cluster-ClusterId{value='5f055ae8ee385337334bb9e3', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-08 13:34:35,830 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 13:34:36,878 [main] INFO  [com.mimosa.deeppokemon.LadderBattleCrawlerTest] StartupInfoLogger.java:61 - Started LadderBattleCrawlerTest in 13.542 seconds (JVM running for 19.694)
2020-07-08 13:34:52,761 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:2}] to localhost:27017
2020-07-08 13:37:42,479 [main] INFO  [org.apache.http.impl.execchain.RetryExec] RetryExec.java:96 - I/O exception (org.apache.http.NoHttpResponseException) caught when processing request to {s}->https://replay.pokemonshowdown.com:443: The target server failed to respond
2020-07-08 13:37:42,481 [main] INFO  [org.apache.http.impl.execchain.RetryExec] RetryExec.java:112 - Retrying request to {s}->https://replay.pokemonshowdown.com:443
