2020-07-10 11:48:09,730 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest], using SpringBootContextLoader
2020-07-10 11:48:09,770 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 11:48:09,773 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.pokemon.portal.service.PlayerServiceTest]: PlayerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 11:48:10,119 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.pokemon.portal.PokemonPortalApplication for test class com.mimosa.pokemon.portal.service.PlayerServiceTest
2020-07-10 11:48:10,511 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-10 11:48:10,576 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56f0cc85, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@62e20a76, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2cc44ad, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@44b3606b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1477089c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@663411de, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@63dd899, org.springframework.test.context.event.EventPublishingTestExecutionListener@59d2400d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@75cd8043, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@33b1c5c5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b202a3a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@10b9db7b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@9ef8eb7]
2020-07-10 11:48:13,026 [main] INFO  [c.mimosa.pokemon.portal.service.PlayerServiceTest] StartupInfoLogger.java:55 - Starting PlayerServiceTest on Yao-PC with PID 2156 (started by Yao in E:\java\study\deep-pokemon\pokemon-portal)
2020-07-10 11:48:13,029 [main] INFO  [c.mimosa.pokemon.portal.service.PlayerServiceTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2020-07-10 11:48:14,747 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-10 11:48:14,804 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 42ms. Found 0 MongoDB repository interfaces.
2020-07-10 11:48:16,726 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2020-07-10 11:48:16,728 [main] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Adding discovered server localhost:27017 to client view of cluster
2020-07-10 11:48:16,891 [cluster-ClusterId{value='5f07e500430ff138ffac2bc2', description='null'}-localhost:27017] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:1, serverValue:18}] to localhost:27017
2020-07-10 11:48:16,906 [cluster-ClusterId{value='5f07e500430ff138ffac2bc2', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 5]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=8561558}
2020-07-10 11:48:16,909 [cluster-ClusterId{value='5f07e500430ff138ffac2bc2', description='null'}-localhost:27017] INFO  [org.mongodb.driver.cluster] SLF4JLogger.java:71 - Discovered cluster type of STANDALONE
2020-07-10 11:48:18,912 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-10 11:48:19,999 [main] INFO  [c.mimosa.pokemon.portal.service.PlayerServiceTest] StartupInfoLogger.java:61 - Started PlayerServiceTest in 9.217 seconds (JVM running for 13.193)
2020-07-10 11:48:21,608 [main] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:2, serverValue:19}] to localhost:27017
2020-07-10 11:48:21,928 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-10 11:48:21,933 [SpringContextShutdownHook] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Closed connection [connectionId{localValue:2, serverValue:19}] to localhost:27017 because the pool has been closed.
2020-07-10 13:19:24,661 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mimosa.pokemon.portal.service.BattleServiceTest], using SpringBootContextLoader
2020-07-10 13:19:24,747 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [com.mimosa.pokemon.portal.service.BattleServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-10 13:19:24,767 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [com.mimosa.pokemon.portal.service.BattleServiceTest]: BattleServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-10 13:19:26,711 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration com.mimosa.pokemon.portal.PokemonPortalApplication for test class com.mimosa.pokemon.portal.service.BattleServiceTest
2020-07-10 13:19:27,895 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-10 13:19:28,221 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@363042d7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@366ac49b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6ad59d92, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@56f0cc85, org.springframework.test.context.support.DirtiesContextTestExecutionListener@62e20a76, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2cc44ad, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@44b3606b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1477089c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@663411de, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@63dd899, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@59d2400d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@75cd8043, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@33b1c5c5]
2020-07-10 13:19:31,726 [main] INFO  [c.mimosa.pokemon.portal.service.BattleServiceTest] StartupInfoLogger.java:55 - Starting BattleServiceTest on Yao-PC with PID 6300 (started by Yao in E:\java\study\deep-pokemon\pokemon-portal)
2020-07-10 13:19:31,729 [main] INFO  [c.mimosa.pokemon.portal.service.BattleServiceTest] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
